study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,10,10,0,,,_ru_se,cruise,old,Cruise,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.612741299904883],['text_3'],,,,,0,10,10,6,57.8551814,,,,,,,,57.8455043,57.8551814,57.8551814,57.8551814,0.0048988,61.4586984,Cruise,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.612741299904883],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,11,11,0,,,B_a_d,Board,old,Board,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[4.443298700032756],['text_3'],,,,,0,11,11,10,61.4744404,,,,,,,,61.4642747,61.4744404,61.4744404,61.4744404,0.0054043,65.9081166,Board,[np.float64(0.040740740740740744)],[np.float64(-0.29907407407407405)],[1],[0],[0],[4.443298700032756],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,12,12,0,,,_o_se,Mouse,old,Rose,[np.float64(0.008333333333333333)],[np.float64(-0.3194444444444444)],[1],[0],[0],[8.826764400000684],['text_3'],,,,,0,12,12,3,65.9235255,,,,,,,,65.9134903,65.9235255,65.9235255,65.9235255,0.0051742,74.7407397,Rose,[np.float64(0.008333333333333333)],[np.float64(-0.3194444444444444)],[1],[0],[0],[8.826764400000684],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,13,13,0,,,B__k,Book,old,Book,[np.float64(0.04537037037037037)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.060072200023569],['text_3'],,,,,0,13,13,14,74.7556722,,,,,,,,74.7456213,74.7556722,74.7556722,74.7556722,0.0047223,77.8061659,Book,[np.float64(0.04537037037037037)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.060072200023569],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,14,14,0,,,_us_io_,Cushion,old,Cushion,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.8274658001028],['text_3'],,,,,0,14,14,15,77.8200019,,,,,,,,77.8109174,77.8200019,77.8200019,77.8200019,0.0045904,81.6389008,Cushion,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.8274658001028],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,15,15,0,,,T_hi_t,T-shirt,old,Tshirt,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.012357100029476],['text_3'],,,,,0,15,15,2,81.6536608,,,,,,,,81.6437114,81.6536608,81.6536608,81.6536608,0.004648,85.6565464,Tshirt,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.012357100029476],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,16,16,0,,,T_bl_,Table,new,Table,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.1423680000007153],['text_3'],,,,,0,16,16,16,85.6713094,,,,,,,,85.661237,85.6713094,85.6713094,85.6713094,0.0045605,88.8042442,Table,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.1423680000007153],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,17,17,0,,,C_m_ra,Camera,new,Camera,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.9614401999861],['text_3'],,,,,0,17,17,20,88.8192879,,,,,,,,88.8094917,88.8192879,88.8192879,88.8192879,0.0050605,91.7714355,Camera,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.9614401999861],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,18,18,0,,,C_r,Car,new,Car,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.6123584000160918],['text_3'],,,,,0,18,18,23,91.785588,,,,,,,,91.7756508,91.785588,91.785588,91.785588,0.0040581,94.3886399,Car,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.6123584000160918],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,19,19,0,,,M_us_,Mouse,new,Mouse,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.891323499963619],['text_3'],,,,,0,19,19,11,94.4041938,,,,,,,,94.3940362,94.4041938,94.4041938,94.4041938,0.0051712,97.2858854,Mouse,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[2.891323499963619],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,20,20,0,,,P_st_y,Pastry,old,Pastry,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.74449640000239],['text_3'],,,,,0,20,20,4,97.3007327,,,,,,,,97.2910176,97.3007327,97.3007327,97.3007327,0.0049531,102.0360313,Pastry,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[4.74449640000239],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,21,21,0,,,v_se,Vase,old,vase,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.2934677000157535],['text_3'],,,,,0,21,21,18,102.0496013,,,,,,,,102.0402469,102.0496013,102.0496013,102.0496013,0.0040578,105.3343063,vase,[np.float64(0.025925925925925925)],[np.float64(-0.29814814814814816)],[1],[0],[0],[3.2934677000157535],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,22,22,0,,,P_st_r,poster,old,Poster,[np.float64(0.03425925925925926)],[np.float64(-0.3055555555555556)],[1],[0],[0],[8.84454259998165],['text_3'],,,,,0,22,22,9,105.3505876,,,,,,,,105.3401682,105.3505876,105.3505876,105.3505876,0.0056476,114.1853315,Poster,[np.float64(0.03425925925925926)],[np.float64(-0.3055555555555556)],[1],[0],[0],[8.84454259998165],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,23,23,0,,,Sl_e_e,Sleeve,new,Sleeve,[np.float64(0.03425925925925926)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.007754400023259],['text_3'],,,,,0,23,23,21,114.1985368,,,,,,,,114.1908698,114.1985368,114.1985368,114.1985368,0.0053606,121.1992153,Sleeve,[np.float64(0.03425925925925926)],[np.float64(-0.3055555555555556)],[1],[0],[0],[7.007754400023259],['text_3'],306243,1,2025-11-20_12h35.06.517,word priming,,2025.1.1,60.02883785,2025-11-20 12h35.09.986408 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prop of hit,,,15,0.652173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,prop of hit for non primed,,,7,0.304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Priming Score,,,,0.347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
