study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,10,10,0,,,P_st_r,poster,old,Pastry,[np.float64(0.02962962962962963)],[np.float64(-0.2962962962962963)],[1],[0],[0],[5.510906400042586],['text_3'],,,,,0,10,10,9,76.5824004,,,,,,,,76.5729098,76.5824004,76.5824004,76.5824004,0.0050171,82.0842397,Pastry,[np.float64(0.02962962962962963)],[np.float64(-0.2962962962962963)],[1],[0],[0],[5.510906400042586],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,11,11,0,,,T_bl_,Table,new,Table,[np.float64(-0.004629629629629629)],[np.float64(-0.28425925925925927)],[1],[0],[0],[3.843592799967155],['text_3'],,,,,0,11,11,16,82.0991473,,,,,,,,82.0887063,82.0991473,82.0991473,82.0991473,0.0042681,85.9327337,Table,[np.float64(-0.004629629629629629)],[np.float64(-0.28425925925925927)],[1],[0],[0],[3.843592799967155],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,12,12,0,,,M_us_,Mouse,new,Mouse,[np.float64(-0.05925925925925926)],[np.float64(-0.2759259259259259)],[1],[0],[0],[4.524775699945167],['text_3'],,,,,0,12,12,11,85.9504082,,,,,,,,85.9404504,85.9504082,85.9504082,85.9504082,0.0074864,90.4657647,Mouse,[np.float64(-0.05925925925925926)],[np.float64(-0.2759259259259259)],[1],[0],[0],[4.524775699945167],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,13,13,0,,,L_pt_p,laptop,old,Laptop,[np.float64(-0.025925925925925925)],[np.float64(-0.30925925925925923)],[1],[0],[0],[4.905513699981384],['text_3'],,,,,0,13,13,0,90.4837145,,,,,,,,90.474045,90.4837145,90.4837145,90.4837145,0.008086,95.3802659,Laptop,[np.float64(-0.025925925925925925)],[np.float64(-0.30925925925925923)],[1],[0],[0],[4.905513699981384],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,14,14,0,,,B__k,Book,old,Book,[np.float64(0.03796296296296296)],[np.float64(-0.30185185185185187)],[1],[0],[0],[5.926902999985032],['text_3'],,,,,0,14,14,14,95.3950677,,,,,,,,95.3851615,95.3950677,95.3950677,95.3950677,0.0045741,101.3126303,Book,[np.float64(0.03796296296296296)],[np.float64(-0.30185185185185187)],[1],[0],[0],[5.926902999985032],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,15,15,0,,,B_tt_e,Bottle,new,Battle,[np.float64(0.03796296296296296)],[np.float64(-0.3)],[1],[0],[0],[3.4291480000829324],['text_3'],,,,,0,15,15,19,101.3277908,,,,,,,,101.3175465,101.3277908,101.3277908,101.3277908,0.0047052,104.7472287,Battle,[np.float64(0.03796296296296296)],[np.float64(-0.3)],[1],[0],[0],[3.4291480000829324],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,16,16,0,,,v_se,Vase,old,Vase,[np.float64(0.04537037037037037)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.759732299949974],['text_3'],,,,,0,16,16,18,104.7617921,,,,,,,,104.7518022,104.7617921,104.7617921,104.7617921,0.0044294,108.5120438,Vase,[np.float64(0.04537037037037037)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.759732299949974],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,17,17,0,,,P_nc_l,Pencil,new,Pencil,[np.float64(0.07685185185185185)],[np.float64(-0.2898148148148148)],[1],[0],[0],[4.779742000042461],['text_3'],,,,,0,17,17,17,108.5268676,,,,,,,,108.5148985,108.5268676,108.5268676,108.5268676,0.0027403,113.295384,Pencil,[np.float64(0.07685185185185185)],[np.float64(-0.2898148148148148)],[1],[0],[0],[4.779742000042461],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,18,18,0,,,Sl_e_e,Sleeve,new,,[np.float64(0.08333333333333333)],[np.float64(-0.2824074074074074)],[1],[0],[0],[8.057193599990569],['text_3'],,,,,0,18,18,21,113.3127935,,,,,,,,113.3023204,113.3127935,113.3127935,113.3127935,0.0065672,121.3600605,,[np.float64(0.08333333333333333)],[np.float64(-0.2824074074074074)],[1],[0],[0],[8.057193599990569],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,19,19,0,,,_o_se,Mouse,old,,[np.float64(0.06388888888888888)],[np.float64(-0.30462962962962964)],[1],[0],[0],[9.561523799900897],['text_3'],,,,,0,19,19,3,121.375091,,,,,,,,121.3646769,121.375091,121.375091,121.375091,0.0044134,130.9267503,,[np.float64(0.06388888888888888)],[np.float64(-0.30462962962962964)],[1],[0],[0],[9.561523799900897],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,20,20,0,,,P_li_e,police,old,Police,[np.float64(0.03425925925925926)],[np.float64(-0.2833333333333333)],[1],[0],[0],[3.4614512000698596],['text_3'],,,,,0,20,20,7,130.9409613,,,,,,,,130.9320401,130.9409613,130.9409613,130.9409613,0.0050585,134.3940483,Police,[np.float64(0.03425925925925926)],[np.float64(-0.2833333333333333)],[1],[0],[0],[3.4614512000698596],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,21,21,0,,,c_se,Case,old,Case,[np.float64(0.026851851851851852)],[np.float64(-0.29259259259259257)],[1],[0],[0],[3.076613000012003],['text_3'],,,,,0,21,21,5,134.4082764,,,,,,,,134.3987497,134.4082764,134.4082764,134.4082764,0.0044936,137.4757945,Case,[np.float64(0.026851851851851852)],[np.float64(-0.29259259259259257)],[1],[0],[0],[3.076613000012003],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,22,22,0,,,C_r,Car,new,,[np.float64(0.026851851851851852)],[np.float64(-0.29259259259259257)],[1],[0],[0],[0.2284934000344947],['text_3'],,,,,0,22,22,23,137.4899376,,,,,,,,137.4803362,137.4899376,137.4899376,137.4899376,0.0044318,137.7093494,,[np.float64(0.026851851851851852)],[np.float64(-0.29259259259259257)],[1],[0],[0],[0.2284934000344947],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,23,23,0,,,Ma_b_e,Marble,old,Marble,[np.float64(0.05)],[np.float64(-0.31574074074074077)],[1],[0],[0],[4.5783589000348],['text_3'],,,,,0,23,23,12,137.723019,,,,,,,,137.7138654,137.723019,137.723019,137.723019,0.0043722,142.292774,Marble,[np.float64(0.05)],[np.float64(-0.31574074074074077)],[1],[0],[0],[4.5783589000348],['text_3'],756262,1,2025-11-20_12h25.52.902,word priming,,2025.1.1,59.97400726,2025-11-20 12h25.56.128876 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,prop of hit,,,14,0.608695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,prop of hit for non primed,,,5,0.217391304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Priming score,,,,0.391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
