study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,11,11,0,,,M_us_,Mouse,new,Mouse,[np.float64(0.09537037037037037)],[np.float64(-0.32407407407407407)],[1],[0],[0],[5.795301700010896],['text_3'],,,,,0,11,11,11,65.983027,,,,,,,,65.9731514,65.983027,65.983027,65.983027,0.0181626,71.7689267,Mouse,[np.float64(0.09537037037037037)],[np.float64(-0.32407407407407407)],[1],[0],[0],[5.795301700010896],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,12,12,0,,,v_se,Vase,old,vase,[np.float64(0.08425925925925926)],[np.float64(-0.3175925925925926)],[1],[0],[0],[2.6621224000118673],['text_3'],,,,,0,12,12,18,71.7818824,,,,,,,,71.7731616,71.7818824,71.7818824,71.7818824,0.0041055,74.4357642,vase,[np.float64(0.08425925925925926)],[np.float64(-0.3175925925925926)],[1],[0],[0],[2.6621224000118673],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,13,13,0,,,Ke_s,keys,old,Keys,[np.float64(0.075)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.6427772999741137],['text_3'],,,,,0,13,13,8,74.4541382,,,,,,,,74.4437512,74.4541382,74.4541382,74.4541382,0.0078205,77.0870061,Keys,[np.float64(0.075)],[np.float64(-0.30092592592592593)],[1],[0],[0],[2.6427772999741137],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,14,14,0,,,C_r,Car,new,Car,[np.float64(0.07037037037037037)],[np.float64(-0.3)],[1],[0],[0],[2.490670599974692],['text_3'],,,,,0,14,14,23,77.1016087,,,,,,,,77.0914693,77.1016087,77.1016087,77.1016087,0.0042847,79.5827882,Car,[np.float64(0.07037037037037037)],[np.float64(-0.3)],[1],[0],[0],[2.490670599974692],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,15,15,0,,,R_ng,Ring,new,Ring,[np.float64(0.06111111111111111)],[np.float64(-0.30185185185185187)],[1],[0],[0],[3.2071794000221416],['text_3'],,,,,0,15,15,22,79.6014471,,,,,,,,79.5909862,79.6014471,79.6014471,79.6014471,0.0079541,82.7986345,Ring,[np.float64(0.06111111111111111)],[np.float64(-0.30185185185185187)],[1],[0],[0],[3.2071794000221416],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,16,16,0,,,B__k,Book,old,Book,[np.float64(0.05925925925925926)],[np.float64(-0.29907407407407405)],[1],[0],[0],[2.7627869000425562],['text_3'],,,,,0,16,16,14,82.8135981,,,,,,,,82.8034478,82.8135981,82.8135981,82.8135981,0.0046599,85.5667677,Book,[np.float64(0.05925925925925926)],[np.float64(-0.29907407407407405)],[1],[0],[0],[2.7627869000425562],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,17,17,0,,,P_st_r,poster,old,Pastry,[np.float64(0.030555555555555555)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.208126900019124],['text_3'],,,,,0,17,17,9,85.5829015,,,,,,,,85.5725913,85.5829015,85.5829015,85.5829015,0.0056396,88.7812381,Pastry,[np.float64(0.030555555555555555)],[np.float64(-0.29907407407407405)],[1],[0],[0],[3.208126900019124],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,18,18,0,,,_ru_se,cruise,old,,[np.float64(0.030555555555555555)],[np.float64(-0.29907407407407405)],[1],[0],[0],[6.611746200011112],['text_3'],,,,,0,18,18,6,88.7962607,,,,,,,,88.7863746,88.7962607,88.7962607,88.7962607,0.0049007,95.3986132,,[np.float64(0.030555555555555555)],[np.float64(-0.29907407407407405)],[1],[0],[0],[6.611746200011112],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,19,19,0,,,P_li_e,police,old,"police
",[np.float64(0.01574074074074074)],[np.float64(-0.28425925925925927)],[1],[0],[0],[5.744441500050016],['text_3'],,,,,0,19,19,7,95.4121267,,,,,,,,95.4037197,95.4121267,95.4121267,95.4121267,0.0049232,101.1486571,"police
",[np.float64(0.01574074074074074)],[np.float64(-0.28425925925925927)],[1],[0],[0],[5.744441500050016],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,20,20,0,,,P_st_y,Pastry,old,Pastry,[np.float64(0.08611111111111111)],[np.float64(-0.2972222222222222)],[1],[0],[0],[4.675578700029291],['text_3'],,,,,0,20,20,4,101.1628065,,,,,,,,101.1536394,101.1628065,101.1628065,101.1628065,0.0048165,105.8299329,Pastry,[np.float64(0.08611111111111111)],[np.float64(-0.2972222222222222)],[1],[0],[0],[4.675578700029291],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,21,21,0,,,C_m_ra,Camera,new,Camera,[np.float64(0.0962962962962963)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.1588347000069916],['text_3'],,,,,0,21,21,20,105.8481208,,,,,,,,105.8365231,105.8481208,105.8481208,105.8481208,0.0062344,108.9959223,Camera,[np.float64(0.0962962962962963)],[np.float64(-0.3148148148148148)],[1],[0],[0],[3.1588347000069916],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,22,22,0,,,_ha_t,chart,old,Chart,[np.float64(0.08333333333333333)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.8953904000809416],['text_3'],,,,,0,22,22,1,109.0104388,,,,,,,,109.0008269,109.0104388,109.0104388,109.0104388,0.0046963,112.8967479,Chart,[np.float64(0.08333333333333333)],[np.float64(-0.3175925925925926)],[1],[0],[0],[3.8953904000809416],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,23,23,0,,,B_tt_e,Bottle,new,Battle,[np.float64(0.041666666666666664)],[np.float64(-0.30648148148148147)],[1],[0],[0],[5.127777599962428],['text_3'],,,,,0,23,23,19,112.9119851,,,,,,,,112.9017953,112.9119851,112.9119851,112.9119851,0.0048878,118.0301224,Battle,[np.float64(0.041666666666666664)],[np.float64(-0.30648148148148147)],[1],[0],[0],[5.127777599962428],['text_3'],719652,1,2025-11-20_12h32.56.055,word priming,,2025.1.1,60.27353331,2025-11-20 12h32.59.507638 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Prop of hit,,,12,0.52173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,prop of hit for non primed,,,6,0.260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Priming Score,,,,0.260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
